country,measure,age,sex,year,value,status
Australia,Life expectancy,0 years,Male,2015,80.4,
Australia,Life expectancy,0 years,Male,2016,80.4,
Australia,Life expectancy,0 years,Male,2017,80.5,
Australia,Life expectancy,0 years,Male,2018,80.7,
Australia,Life expectancy,0 years,Male,2019,80.9,
Australia,Life expectancy,0 years,Male,2020,81.2,
Australia,Life expectancy,0 years,Male,2021,81.3,
Australia,Life expectancy,0 years,Male,2022,81.2,
Australia,Life expectancy,0 years,Male,2023,81.1,
Australia,Life expectancy,0 years,Male,2024,81.1,
France,Life expectancy,0 years,Male,2015,79,
France,Life expectancy,0 years,Male,2016,79.3,
France,Life expectancy,0 years,Male,2017,79.4,
France,Life expectancy,0 years,Male,2018,79.5,
France,Life expectancy,0 years,Male,2019,79.7,
France,Life expectancy,0 years,Male,2020,79.1,
France,Life expectancy,0 years,Male,2021,79.2,
France,Life expectancy,0 years,Male,2022,79.3,
France,Life expectancy,0 years,Male,2023,80,
France,Life expectancy,0 years,Male,2024,80.2,
Germany,Life expectancy,0 years,Male,2015,78.1,
Germany,Life expectancy,0 years,Male,2016,78.4,
Germany,Life expectancy,0 years,Male,2017,78.6,
Germany,Life expectancy,0 years,Male,2018,78.5,
Germany,Life expectancy,0 years,Male,2019,78.8,
Germany,Life expectancy,0 years,Male,2020,78.6,
Germany,Life expectancy,0 years,Male,2021,78.2,
Germany,Life expectancy,0 years,Male,2022,78.1,
Germany,Life expectancy,0 years,Male,2023,78.5,
Germany,Life expectancy,0 years,Male,2024,78.9,
Japan,Life expectancy,0 years,Male,2015,80.8,
Japan,Life expectancy,0 years,Male,2016,81,
Japan,Life expectancy,0 years,Male,2017,81.1,
Japan,Life expectancy,0 years,Male,2018,81.3,
Japan,Life expectancy,0 years,Male,2019,81.4,
Japan,Life expectancy,0 years,Male,2020,81.6,
Japan,Life expectancy,0 years,Male,2021,81.5,
Japan,Life expectancy,0 years,Male,2022,81.1,
Japan,Life expectancy,0 years,Male,2023,81.1,
Japan,Life expectancy,0 years,Male,2024,81.1,
Portugal,Life expectancy,0 years,Male,2015,78.2,
Portugal,Life expectancy,0 years,Male,2016,78.2,
Portugal,Life expectancy,0 years,Male,2017,78.5,
Portugal,Life expectancy,0 years,Male,2018,78.5,
Portugal,Life expectancy,0 years,Male,2019,79,
Portugal,Life expectancy,0 years,Male,2020,78.4,
Portugal,Life expectancy,0 years,Male,2021,78.4,
Portugal,Life expectancy,0 years,Male,2022,78.8,
Portugal,Life expectancy,0 years,Male,2023,79.4,
Portugal,Life expectancy,0 years,Male,2024,79.7,
United States,Life expectancy,0 years,Male,2015,76.3,
United States,Life expectancy,0 years,Male,2016,76.2,
United States,Life expectancy,0 years,Male,2017,76.1,
United States,Life expectancy,0 years,Male,2018,76.2,
United States,Life expectancy,0 years,Male,2019,76.3,
United States,Life expectancy,0 years,Male,2020,74.2,
United States,Life expectancy,0 years,Male,2021,73.5,
United States,Life expectancy,0 years,Male,2022,74.8,
United States,Life expectancy,0 years,Male,2023,75.8,
United States,Life expectancy,0 years,Male,2024,76.5,
Greece,Life expectancy,0 years,Male,2015,78,
Greece,Life expectancy,0 years,Male,2016,78.3,
Greece,Life expectancy,0 years,Male,2017,78.3,
Greece,Life expectancy,0 years,Male,2018,78.7,
Greece,Life expectancy,0 years,Male,2019,78.7,
Greece,Life expectancy,0 years,Male,2020,78.4,
Greece,Life expectancy,0 years,Male,2021,77.3,
Greece,Life expectancy,0 years,Male,2022,78.2,
Greece,Life expectancy,0 years,Male,2023,79.1,
Greece,Life expectancy,0 years,Male,2024,79.4,
New Zealand,Life expectancy,0 years,Male,2015,79.7,
New Zealand,Life expectancy,0 years,Male,2016,79.8,
New Zealand,Life expectancy,0 years,Male,2017,79.9,
New Zealand,Life expectancy,0 years,Male,2018,80,
New Zealand,Life expectancy,0 years,Male,2019,80,
New Zealand,Life expectancy,0 years,Male,2020,80,
New Zealand,Life expectancy,0 years,Male,2021,80.1,
New Zealand,Life expectancy,0 years,Male,2022,80.1,
New Zealand,Life expectancy,0 years,Male,2023,80.1,
New Zealand,Life expectancy,0 years,Male,2024,80.4,
Canada,Life expectancy,0 years,Male,2015,79.9,
Canada,Life expectancy,0 years,Male,2016,79.9,
Canada,Life expectancy,0 years,Male,2017,79.7,
